id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41113261,Master Bedroom in a luxury building Downtown,321683835,David,,Downtown,49.27357,-123.12636,Private room,55,1,10,2020-03-04,0.37,1,0,0,19-227545
41115308,A quick stay in Vancouver,7305426,Cat,,Riley Park,49.24198,-123.10237,Private room,55,1,14,2021-06-05,0.53,4,7,5,22-157001
41129773,3 BDRM West Side Home in Arbutus Ridge,316020752,Manny,,Arbutus Ridge,49.25263,-123.16957,Entire home/apt,80,1,5,2020-02-29,0.18,2,0,0,19-330804
41137178,Fairview slopes Nice 1BR suite centrally located,77784798,Jutta,,Fairview,49.2638,-123.12535,Entire home/apt,150,2,0,,,1,271,0,19-330 830
41146963,Bright and Cozy Suite in 1912 Kitsilano Home,15103534,Charleen,,Kitsilano,49.26871,-123.18062,Entire home/apt,154,3,22,2022-03-05,0.87,1,24,17,22-156954
41184884,Beautiful top floor Loft,118025716,Jerome,,West End,49.28021,-123.13204,Entire home/apt,160,3,0,,,1,0,0,20-184268
41194048,Beautiful Brick & Beam Gastown Heritage Loft!!,52603639,Megan,,Downtown Eastside,49.28399,-123.10693,Entire home/apt,204,7,28,2022-02-23,1.05,1,241,10,22-157162
41207084,Spacious 2 Bedroom Home Away From Home,35239641,Eldon,,Kerrisdale,49.23342,-123.16456,Entire home/apt,99,1,36,2021-10-31,1.55,1,270,22,22-156985
41212789,Designer Loft in Downtown Vancouver 2 Bds/Sleeps 4,178871147,Emma,,Downtown,49.2785,-123.12088,Entire home/apt,147,2,65,2022-03-07,2.56,1,63,47,22-157006
41510288,--,21600910,Elaine,,Dunbar Southlands,49.24169,-123.1806,Private room,128,1,0,,,2,0,0,20-181140
41511511,-,21600910,Elaine,,Dunbar Southlands,49.24196,-123.18066,Private room,138,1,0,,,2,0,0,20-181140
41530441,Central Vancouver Lrg 1 Bedroom walk everywhere.,24113529,Adam,,Strathcona,49.26732,-123.09615,Entire home/apt,240,2,9,2022-01-26,2.29,1,290,9,22-157865
41538335,Studio Suite in the Heart of the City,157087328,Robert,,Downtown,49.27606,-123.12952,Entire home/apt,87,30,0,,,2,38,0,
41538497,Fresh and Bright Suite in Hip Fraserhood Area,2666183,Magnus,,Kensington-Cedar Cottage,49.24804,-123.08943,Entire home/apt,89,6,28,2022-01-26,1.07,1,8,17,22-157026
41553128,Spacious Kitsilano home,327344383,Bonnea,,Dunbar Southlands,49.25523,-123.17619,Entire home/apt,100,3,2,2020-02-27,0.08,1,0,0,20-184215
41560049,🌄 Clean & Cozy 1 Bedroom by Convention Center incl. Parking 🌄,323361251,Karly,,West End,49.28668,-123.1248,Entire home/apt,148,1,73,2022-02-21,2.79,1,253,44,22-012743
41561238,🌇Instaworthy Loft Yaletown🌆 1bdrm/1bath/1prk,251826370,Richard,,Downtown,49.27832,-123.12204,Entire home/apt,133,2,61,2022-02-18,2.34,1,139,41,22-157908
41563925,☀︎2bdrm High in the Sky☀︎ Yaletown- 1bath/AC,327484845,Lacey,,Downtown,49.27355,-123.12709,Entire home/apt,224,4,41,2022-03-12,1.58,1,49,29,21-12452
