id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44319910,Cozy Bedroom for Girl,97767256,Karla,,Caledonia-Fairbank,43.68509,-79.44851,Private room,32,28,2,2021-10-18,0.11,4,354,1,
44320625,Fully Furnished 1 Bedroom Condo with sofabed #5,342316738,Davar,,Church-Yonge Corridor,43.6479,-79.37671,Entire home/apt,159,30,3,2021-04-02,0.16,29,0,1,
44321090,Stunning Kensington Market 2 Storey 2 Bdrm Apt,1014377,Fabiola,,Kensington-Chinatown,43.65533,-79.40421,Entire home/apt,141,1,87,2022-02-21,4.40,3,28,61,STR-2012-GKWPHG
44322789,Trendy 1br Kensington Market Walk-In,1014377,Fabiola,,Kensington-Chinatown,43.65704,-79.4037,Entire home/apt,104,1,42,2022-01-31,2.17,3,61,32,STR-2012-GKWPHG
44324651,Entire 2 BR Main Floor Apt/Private Kitchen/2 Baths,210764339,Russell,,University,43.65849,-79.40736,Entire home/apt,85,28,6,2021-05-01,0.31,3,64,1,STR-2012-FYAPHD
44335904,rooftopTO,162433636,Bryan,,Yorkdale-Glen Park,43.71074,-79.46759,Entire home/apt,499,1,20,2021-10-02,1.08,3,363,17,Exempt
44341494,Beautiful Toronto Apartment (201),255601789,Ali,,Dovercourt-Wallace Emerson-Junction,43.66168,-79.4439,Entire home/apt,61,28,19,2022-01-14,0.98,10,313,2,
44343412,Nice condo Downtown With view,128927880,Stan,,Kensington-Chinatown,43.65517,-79.3944,Entire home/apt,340,28,0,,,2,365,0,
44343486,Private room in condo downtown with a view,128927880,Stan,,Kensington-Chinatown,43.65457,-79.39242,Private room,280,28,0,,,2,365,0,
44354359,Room for rent (females only),355914648,Shima,,Weston,43.70166,-79.51035,Private room,50,28,1,2020-09-10,0.06,1,90,0,
