id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51539426,Poet-Bed and breakfast with free on-site parking.,409470834,Guitta,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81034,-71.20897,Private room,135,1,19,2022-02-14,2.75,3,92,19,
51584391,Great Loft in the heart of downtown,210790740,Pamela,,Saint-Roch,46.81081,-71.2277,Entire home/apt,94,2,11,2021-11-28,1.85,1,140,11,
51619448,Appartement adorable avec stationnement sur place,262862180,Michelle,,Saint-Émile,46.88222,-71.33251,Entire home/apt,56,1,15,2022-03-03,2.37,2,302,15,
51680359,"Cozy room in Beauport house, 10 mins to downtown.",54731144,Edward,,Vieux-Moulin,46.85235,-71.20594,Private room,39,30,0,,,1,83,0,
51708197,King-bed loft with private entrance,386141112,Dorchester,,Saint-Roch,46.813248,-71.225937,Entire home/apt,182,2,0,,,35,295,0,304607
51708661,King-bed loft with private access,386141112,Dorchester,,Saint-Roch,46.813217,-71.22625,Entire home/apt,183,2,0,,,35,245,0,304607
51720936,Super condo pour 4 Q5,40601106,Maxime,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81066,-71.21067,Entire home/apt,45,31,1,2022-01-21,0.63,7,354,1,
51723172,Magnifique condo tout inclus !,133152918,Cynthia,,Notre-Dame-des-Laurentides,46.89429,-71.29834,Entire home/apt,120,2,13,2022-02-26,2.57,1,289,13,
51732754,Magnifique appartement Vieux Québec,316449987,Paul,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81485,-71.21397,Entire home/apt,135,5,0,,,1,275,0,
51795003,Old Québec - Free Parking - Perfect Location,419586074,Cindy,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81573,-71.20936,Entire home/apt,168,2,12,2022-02-22,1.88,1,77,12,307645
51795946,DOWNTOWN cozy loft ❤️ (St-Joseph street),248671197,Sammy Gestion,,Saint-Roch,46.813828,-71.225311,Entire home/apt,73,1,35,2022-02-21,5.68,2,100,35,294316
51824156,Spacieuse chambre de 2 lits - salle de bain privée,419831335,Suzanne,,Cap-Rouge,46.7652,-71.35265,Private room,54,1,41,2022-03-04,6.28,1,245,41,305988
51850133,Chambre 2 - Sous sol,191448944,Mireille,,Val-Bélair,46.86014,-71.42717,Private room,35,1,20,2022-02-13,3.09,3,341,20,
51862223,Sous-sol privée d'une maison résidentielle,191448944,Mireille,,Val-Bélair,46.86089,-71.42753,Private room,48,1,2,2021-12-29,0.46,3,7,2,
